nrow,ncol,intensity
19,16,0.103783
19,17,0.001666
19,18,0.006360
19,19,0.009667
19,20,0.099932
19,21,0.190751
19,22,0.279374
19,23,0.469248
19,24,0.408269
19,25,0.235563
19,26,0.162439
19,27,0.093082
19,28,0.135292
19,29,0.096681
19,30,0.041569
19,31,0.016861
19,32,0.000000
19,33,0.134871
19,34,0.425612
19,35,0.767341
19,36,0.362727
19,37,0.113928
19,38,0.000000
19,39,0.088214
19,40,0.264643
19,41,0.529286
19,42,0.264643
19,43,0.088214
19,44,0.000000
19,45,0.036835
19,46,0.224608
19,47,0.506268
19,48,0.244829
19,49,0.057056
20,0,0.040754
20,1,0.000000
20,2,0.000500
20,3,0.045712
20,4,0.168769
20,5,0.189804
20,6,0.072396
20,7,0.066393
20,8,0.085140
20,9,0.126108
20,10,0.308870
20,11,0.233726
20,12,0.221848
20,13,0.284909
20,14,0.513119
20,15,0.452777
20,16,0.267744
20,17,0.179706
20,18,0.093849
20,19,0.007298
20,20,0.009186
20,21,0.183382
20,22,0.562549
20,23,0.302249
20,24,0.221988
20,25,0.138706
20,26,0.055839
20,27,0.086883
20,28,0.100856
20,29,0.109374
20,30,0.067426
20,31,0.010631
20,32,0.000000
20,33,0.269742
20,34,0.674356
20,35,0.404614
20,36,0.134871
20,37,0.000000
20,38,0.000000
20,39,0.000000
20,40,0.088214
20,41,0.264643
20,42,0.441072
20,43,0.176429
20,44,0.036835
20,45,0.073670
20,46,0.241226
20,47,0.334810
20,48,0.383394
20,49,0.175395
21,0,0.130069
21,1,0.049060
21,2,0.009306
21,3,0.006584
21,4,0.125960
21,5,0.217502
21,6,0.150047
21,7,0.119279
21,8,0.082991
21,9,0.124487
21,10,0.122328
21,11,0.097969
21,12,0.214422
21,13,0.182963
21,14,0.216078
21,15,0.261060
21,16,0.378845
21,17,0.546351
21,18,0.266311
21,19,0.171175
21,20,0.172820
21,21,0.433674
21,22,0.277229
21,23,0.038148
21,24,0.044087
21,25,0.029979
21,26,0.044745
21,27,0.067249
21,28,0.080965
21,29,0.092091
21,30,0.098183
21,31,0.062470
21,32,0.027131
21,33,0.280012
21,34,0.809227
21,35,0.404614
21,36,0.134871
21,37,0.000000
21,38,0.000000
21,39,0.000000
21,40,0.088214
21,41,0.264643
21,42,0.506409
21,43,0.236191
21,44,0.133432
21,45,0.198086
21,46,0.103883
21,47,0.142796
21,48,0.185587
21,49,0.257062
22,0,0.124419
22,1,0.050595
22,2,0.017935
22,3,0.038147
22,4,0.079262
22,5,0.151921
22,6,0.281078
22,7,0.116869
22,8,0.142692
22,9,0.099590
22,10,0.049795
22,11,0.055830
22,12,0.068146
22,13,0.141303
22,14,0.165801
22,15,0.073388
22,16,0.113475
22,17,0.291553
22,18,0.440540
22,19,0.180400
22,20,0.173641
22,21,0.514882
22,22,0.274589
22,23,0.123106
22,24,0.039576
22,25,0.048358
22,26,0.069904
22,27,0.087820
22,28,0.097542
22,29,0.098504
22,30,0.089627
22,31,0.076742
22,32,0.155772
22,33,0.269742
22,34,0.674356
22,35,0.404614
22,36,0.000000
22,37,0.000000
22,38,0.000000
22,39,0.000000
22,40,0.006164
22,41,0.188758
22,42,0.627983
22,43,0.456443
22,44,0.272458
22,45,0.087581
22,46,0.053137
22,47,0.104067
22,48,0.183704
22,49,0.253295
23,0,0.040497
23,1,0.004879
23,2,0.009599
23,3,0.006751
23,4,0.004296
23,5,0.050311
23,6,0.077801
23,7,0.103333
23,8,0.055046
23,9,0.026574
23,10,0.000000
23,11,0.000000
23,12,0.000000
23,13,0.066120
23,14,0.179772
23,15,0.133632
23,16,0.073544
23,17,0.208105
23,18,0.454897
23,19,0.271411
23,20,0.268688
23,21,0.454342
23,22,0.308691
23,23,0.130747
23,24,0.039291
23,25,0.041239
23,26,0.046640
23,27,0.067527
23,28,0.081254
23,29,0.089763
23,30,0.087944
23,31,0.068495
23,32,0.023177
23,33,0.134871
23,34,0.539485
23,35,0.539485
23,36,0.134871
23,37,0.000000
23,38,0.003082
23,39,0.006164
23,40,0.018493
23,41,0.191312
23,42,0.319405
23,43,0.488695
23,44,0.174414
23,45,0.082985
23,46,0.110322
23,47,0.236947
23,48,0.243226
23,49,0.077742
24,0,0.003253
24,1,0.008132
24,2,0.005556
24,3,0.004562
24,4,0.007504
24,5,0.008728
24,6,0.009046
24,7,0.010912
24,8,0.007149
24,9,0.001677
24,10,0.000000
24,11,0.000000
24,12,0.000000
24,13,0.037213
24,14,0.142607
24,15,0.164985
24,16,0.076584
24,17,0.130216
24,18,0.384261
24,19,0.366441
24,20,0.183183
24,21,0.282483
24,22,0.491124
24,23,0.233106
24,24,0.054293
24,25,0.051564
24,26,0.066248
24,27,0.082231
24,28,0.087999
24,29,0.092104
24,30,0.089208
24,31,0.037428
24,32,0.009253
24,33,0.158537
24,34,0.451946
24,35,0.627071
24,36,0.246100
24,37,0.003082
24,38,0.006164
24,39,0.018493
24,40,0.021575
24,41,0.024658
24,42,0.132906
24,43,0.523205
24,44,0.287353
24,45,0.217617
24,46,0.272114
24,47,0.224114
24,48,0.112057
24,49,0.055161
25,0,0.004916
25,1,0.009441
25,2,0.005308
25,3,0.004383
25,4,0.003372
25,5,0.004342
25,6,0.010360
25,7,0.012950
25,8,0.007574
25,9,0.001000
25,10,0.000000
25,11,0.000000
25,12,0.000000
25,13,0.000000
25,14,0.091327
25,15,0.169320
25,16,0.100761
25,17,0.079811
25,18,0.335677
25,19,0.499874
25,20,0.211611
25,21,0.312947
25,22,0.531868
25,23,0.381263
25,24,0.164448
25,25,0.060725
25,26,0.060044
25,27,0.059744
25,28,0.070982
25,29,0.078411
25,30,0.068962
25,31,0.024166
25,32,0.134871
25,33,0.194036
25,34,0.364454
25,35,0.627142
25,36,0.313134
25,37,0.208070
25,38,0.119618
25,39,0.015411
25,40,0.015411
25,41,0.012329
25,42,0.071864
25,43,0.125033
25,44,0.182660
25,45,0.165915
25,46,0.112705
25,47,0.062544
25,48,0.005587
25,49,0.003398
26,0,0.009096
26,1,0.006325
26,2,0.005649
26,3,0.004162
26,4,0.003581
26,5,0.005132
26,6,0.008342
26,7,0.013528
26,8,0.009897
26,9,0.002897
26,10,0.000000
26,11,0.000000
26,12,0.000000
26,13,0.029769
26,14,0.081345
26,15,0.163919
26,16,0.098941
26,17,0.145857
26,18,0.352024
26,19,0.624676
26,20,0.207348
26,21,0.116526
26,22,0.337621
26,23,0.711336
26,24,0.376075
26,25,0.157579
26,26,0.056059
26,27,0.070287
26,28,0.079818
26,29,0.086287
26,30,0.036680
26,31,0.145023
26,32,0.293409
26,33,0.586817
26,34,0.726483
26,35,0.655635
26,36,0.724751
26,37,0.232216
26,38,0.018493
26,39,0.018493
26,40,0.012329
26,41,0.006164
26,42,0.003082
26,43,0.001374
26,44,0.004123
26,45,0.006872
26,46,0.004908
26,47,0.006054
26,48,0.009536
26,49,0.008040
27,0,0.004329
27,1,0.004093
27,2,0.005784
27,3,0.005539
27,4,0.005000
27,5,0.003000
27,6,0.006055
27,7,0.016000
27,8,0.010055
27,9,0.004449
27,10,0.001000
27,11,0.000000
27,12,0.000000
27,13,0.012668
27,14,0.045377
27,15,0.114996
27,16,0.084996
27,17,0.159400
27,18,0.376517
27,19,0.551825
27,20,0.228012
27,21,0.012632
27,22,0.126180
27,23,0.234756
27,24,0.599796
27,25,0.537570
27,26,0.309141
27,27,0.198627
27,28,0.066340
27,29,0.161569
27,30,0.281002
27,31,0.539485
27,32,0.674356
27,33,0.269742
27,34,0.234283
27,35,0.198823
27,36,0.211152
27,37,0.136806
27,38,0.024658
27,39,0.012329
27,40,0.003082
27,41,0.000000
27,42,0.000000
27,43,0.001374
27,44,0.003809
27,45,0.007619
27,46,0.006158
27,47,0.007471
27,48,0.012744
27,49,0.010071
28,0,0.005335
28,1,0.004108
28,2,0.006993
28,3,0.003872
28,4,0.002000
28,5,0.002000
28,6,0.002528
28,7,0.006505
28,8,0.012110
28,9,0.007449
28,10,0.001000
28,11,0.000000
28,12,0.000000
28,13,0.018222
28,14,0.051589
28,15,0.091024
28,16,0.064629
28,17,0.265954
28,18,0.537481
28,19,0.481690
28,20,0.328061
28,21,0.151970
28,22,0.082517
28,23,0.130688
28,24,0.253892
28,25,0.510563
28,26,0.669820
28,27,0.461315
28,28,0.436341
28,29,0.412146
28,30,0.668676
28,31,0.560609
28,32,0.269742
28,33,0.134871
28,34,0.000000
28,35,0.006164
28,36,0.012329
28,37,0.030822
28,38,0.018493
28,39,0.000000
28,40,0.000000
28,41,0.000000
28,42,0.000000
28,43,0.000000
28,44,0.003692
28,45,0.011990
28,46,0.008179
28,47,0.011035
28,48,0.010316
28,49,0.009174
29,0,0.005810
29,1,0.007085
29,2,0.004215
29,3,0.002000
29,4,0.000000
29,5,0.000000
29,6,0.000000
29,7,0.002528
29,8,0.009876
29,9,0.011348
29,10,0.005449
29,11,0.003000
29,12,0.000000
29,13,0.000000
29,14,0.012668
29,15,0.036460
29,16,0.095054
29,17,0.210813
29,18,0.979953
29,19,0.412458
29,20,0.374040
29,21,0.486174
29,22,0.210538
29,23,0.073431
29,24,0.005634
29,25,0.131332
29,26,0.266995
29,27,0.489695
29,28,0.607565
29,29,0.846857
29,30,0.578599
29,31,0.221206
29,32,0.022127
29,33,0.000000
29,34,0.000000
29,35,0.000000
29,36,0.006164
29,37,0.024658
29,38,0.024658
29,39,0.006164
29,40,0.001871
29,41,0.003742
29,42,0.007483
29,43,0.008426
29,44,0.011686
29,45,0.012032
29,46,0.009634
29,47,0.003472
29,48,0.002727
29,49,0.003357
30,0,0.004328
30,1,0.013871
30,2,0.004343
30,3,0.001872
30,4,0.000000
30,5,0.000000
30,6,0.000000
30,7,0.002449
30,8,0.008348
30,9,0.022000
30,10,0.005449
30,11,0.000000
30,12,0.000000
30,13,0.000000
30,14,0.009304
30,15,0.050705
30,16,0.220221
30,17,0.365670
30,18,0.327927
30,19,0.487997
30,20,0.407261
30,21,0.351585
30,22,0.410493
30,23,0.137032
30,24,0.000460
30,25,0.000458
30,26,0.000456
30,27,0.000453
30,28,0.196300
30,29,0.618077
30,30,0.429771
30,31,0.222198
30,32,0.036810
30,33,0.000000
30,34,0.000000
30,35,0.000000
30,36,0.006164
30,37,0.021656
30,38,0.035612
30,39,0.022596
30,40,0.014010
30,41,0.013458
30,42,0.013674
30,43,0.014698
30,44,0.027050
30,45,0.017996
30,46,0.008998
30,47,0.004028
